X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,url,urlname,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-5.0577,50.0804,,,,,WPT075,WPT075,WPT075,,,,,,,,,,,,
-5.0583,50.0788,,,,,WPT076,WPT076,WPT076,,,,,,,,,,,,
-5.0589,50.0772,,,,,WPT077,WPT077,WPT077,,,,,,,,,,,,
-5.0581,50.0757,,,,,WPT078,WPT078,WPT078,,,,,,,,,,,,
-5.0554,50.0753,,,,,WPT079,WPT079,WPT079,,,,,,,,,,,,
-5.0523,50.0743,,,,,WPT080,WPT080,WPT080,,,,,,,,,,,,
-5.0502,50.0734,,,,,WPT081,WPT081,WPT081,,,,,,,,,,,,
-5.0479,50.0729,,,,,WPT082,WPT082,WPT082,,,,,,,,,,,,
-5.0458,50.072,,,,,WPT083,WPT083,WPT083,,,,,,,,,,,,
-5.0438,50.071,,,,,WPT084,WPT084,WPT084,,,,,,,,,,,,
-5.0418,50.07,,,,,WPT085,WPT085,WPT085,,,,,,,,,,,,
-5.0407,50.0686,,,,,WPT086,WPT086,WPT086,,,,,,,,,,,,
-5.0383,50.0687,,,,,WPT087,WPT087,WPT087,,,,,,,,,,,,
-5.0361,50.0681,,,,,WPT088,WPT088,WPT088,,,,,,,,,,,,
-5.0342,50.0671,,,,,WPT089,WPT089,WPT089,,,,,,,,,,,,
-5.0332,50.0681,,,,,WPT090,WPT090,WPT090,,,,,,,,,,,,
-5.0313,50.0679,,,,,WPT091,WPT091,WPT091,,,,,,,,,,,,
-5.0287,50.0679,,,,,WPT092,WPT092,WPT092,,,,,,,,,,,,
-5.0287,50.0693,,,,,WPT093,WPT093,WPT093,,,,,,,,,,,,
-5.0273,50.0687,,,,,WPT094,WPT094,WPT094,,,,,,,,,,,,
-5.0256,50.0673,,,,,WPT095,WPT095,WPT095,,,,,,,,,,,,
-5.0239,50.0658,,,,,WPT096,WPT096,WPT096,,,,,,,,,,,,
-5.0221,50.0652,,,,,WPT097,WPT097,WPT097,,,,,,,,,,,,
-5.0229,50.0664,,,,,WPT098,WPT098,WPT098,,,,,,,,,,,,
-5.0228,50.0679,,,,,WPT099,WPT099,WPT099,,,,,,,,,,,,
-5.0236,50.0687,,,,,WPT100,WPT100,WPT100,,,,,,,,,,,,
-5.0222,50.0693,,,,,WPT101,WPT101,WPT101,,,,,,,,,,,,
-5.0211,50.0683,,,,,WPT102,WPT102,WPT102,,,,,,,,,,,,
-5.023,50.0676,,,,,WPT103,WPT103,WPT103,,,,,,,,,,,,
-5.0255,50.0667,,,,,WPT104,WPT104,WPT104,,,,,,,,,,,,
-5.0278,50.0656,,,,,WPT105,WPT105,WPT105,,,,,,,,,,,,
-5.03,50.0643,,,,,WPT106,WPT106,WPT106,,,,,,,,,,,,
-5.0323,50.0631,,,,,WPT107,WPT107,WPT107,,,,,,,,,,,,
-5.0346,50.062,,,,,WPT108,WPT108,WPT108,,,,,,,,,,,,
-5.0373,50.0613,,,,,WPT109,WPT109,WPT109,,,,,,,,,,,,
-5.0396,50.0601,,,,,WPT110,WPT110,WPT110,,,,,,,,,,,,
-5.042,50.0591,,,,,WPT111,WPT111,WPT111,,,,,,,,,,,,
-5.0443,50.0578,,,,,WPT112,WPT112,WPT112,,,,,,,,,,,,
-5.0463,50.0564,,,,,WPT113,WPT113,WPT113,,,,,,,,,,,,
-5.0484,50.0549,,,,,WPT114,WPT114,WPT114,,,,,,,,,,,,
-5.0506,50.0556,,,,,WPT115,WPT115,WPT115,,,,,,,,,,,,
-5.0522,50.0566,,,,,WPT116,WPT116,WPT116,,,,,,,,,,,,
-5.0517,50.0562,,,,,WPT117,WPT117,WPT117,,,,,,,,,,,,
-5.0488,50.056,,,,,WPT118,WPT118,WPT118,,,,,,,,,,,,
-5.0457,50.0554,,,,,WPT119,WPT119,WPT119,,,,,,,,,,,,
-5.0431,50.0547,,,,,WPT120,WPT120,WPT120,,,,,,,,,,,,
-5.0429,50.0536,,,,,WPT121,WPT121,WPT121,,,,,,,,,,,,
-5.0446,50.0533,,,,,WPT122,WPT122,WPT122,,,,,,,,,,,,
-5.046,50.0545,,,,,WPT123,WPT123,WPT123,,,,,,,,,,,,
-5.0452,50.054,,,,,WPT124,WPT124,WPT124,,,,,,,,,,,,
-5.0434,50.0531,,,,,WPT125,WPT125,WPT125,,,,,,,,,,,,
-5.0416,50.0522,,,,,WPT126,WPT126,WPT126,,,,,,,,,,,,
-5.0419,50.0506,,,,,WPT127,WPT127,WPT127,,,,,,,,,,,,
-5.0402,50.0494,,,,,WPT128,WPT128,WPT128,,,,,,,,,,,,
-5.0383,50.0484,,,,,WPT129,WPT129,WPT129,,,,,,,,,,,,
-5.0391,50.047,,,,,WPT130,WPT130,WPT130,,,,,,,,,,,,
-5.0405,50.0456,,,,,WPT131,WPT131,WPT131,,,,,,,,,,,,
-5.0421,50.0443,,,,,WPT132,WPT132,WPT132,,,,,,,,,,,,
-5.0439,50.0429,,,,,WPT133,WPT133,WPT133,,,,,,,,,,,,
-5.046,50.0417,,,,,WPT134,WPT134,WPT134,,,,,,,,,,,,
-5.0477,50.0407,,,,,WPT135,WPT135,WPT135,,,,,,,,,,,,
-5.0462,50.0391,,,,,WPT136,WPT136,WPT136,,,,,,,,,,,,
-5.0452,50.0374,,,,,WPT137,WPT137,WPT137,,,,,,,,,,,,
-5.0446,50.0357,,,,,WPT138,WPT138,WPT138,,,,,,,,,,,,
-5.0426,50.0346,,,,,WPT139,WPT139,WPT139,,,,,,,,,,,,
-5.0426,50.0329,,,,,WPT140,WPT140,WPT140,,,,,,,,,,,,
-5.0418,50.0314,,,,,WPT141,WPT141,WPT141,,,,,,,,,,,,
-5.0416,50.0299,,,,,WPT142,WPT142,WPT142,,,,,,,,,,,,
-5.0417,50.0285,,,,,WPT143,WPT143,WPT143,,,,,,,,,,,,
-5.0429,50.0271,,,,,WPT144,WPT144,WPT144,,,,,,,,,,,,
-5.0432,50.0257,,,,,WPT145,WPT145,WPT145,,,,,,,,,,,,
-5.0434,50.026,,,,,WPT146,WPT146,WPT146,,,,,,,,,,,,
-5.0457,50.0265,,,,,WPT147,WPT147,WPT147,,,,,,,,,,,,
-5.0484,50.0273,,,,,WPT148,WPT148,WPT148,,,,,,,,,,,,
-5.0512,50.0282,,,,,WPT149,WPT149,WPT149,,,,,,,,,,,,
-5.0535,50.0294,,,,,WPT150,WPT150,WPT150,,,,,,,,,,,,
-5.0561,50.0304,,,,,WPT151,WPT151,WPT151,,,,,,,,,,,,
-5.058,50.032,,,,,WPT152,WPT152,WPT152,,,,,,,,,,,,
-5.06,50.0335,,,,,WPT153,WPT153,WPT153,,,,,,,,,,,,
-5.0615,50.0351,,,,,WPT154,WPT154,WPT154,,,,,,,,,,,,
-5.062,50.0369,,,,,WPT155,WPT155,WPT155,,,,,,,,,,,,
-5.0644,50.0379,,,,,WPT156,WPT156,WPT156,,,,,,,,,,,,
-5.0669,50.0381,,,,,WPT157,WPT157,WPT157,,,,,,,,,,,,
-5.0681,50.0376,,,,,WPT158,WPT158,WPT158,,,,,,,,,,,,
-5.0681,50.0389,,,,,WPT159,WPT159,WPT159,,,,,,,,,,,,
-5.0671,50.0401,,,,,WPT160,WPT160,WPT160,,,,,,,,,,,,
